No.,Time,Source,Destination,Protocol,Length,Info,Type,Type of attack
38,1741475174.0037792,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
39,1741475174.0044193,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
40,1741475174.0049906,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
41,1741475174.0056293,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
42,1741475174.0061224,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
43,1741475174.0092561,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
44,1741475174.0099683,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
45,1741475174.0105412,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
46,1741475174.011041,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
47,1741475174.012235,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
48,1741475174.0139372,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
49,1741475174.0145264,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
50,1741475174.0150623,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
51,1741475174.0179725,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
52,1741475174.018664,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
53,1741475174.0192075,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
54,1741475174.0197604,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
55,1741475174.020252,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
56,1741475174.0207841,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
57,1741475174.021262,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
58,1741475174.023869,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
59,1741475174.02472,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
60,1741475174.0256252,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
61,1741475174.026092,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
62,1741475174.0266955,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
63,1741475174.0271482,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
64,1741475174.0277116,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
65,1741475174.0282588,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
66,1741475174.030976,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
67,1741475174.031637,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
68,1741475174.0321712,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
69,1741475174.032828,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
70,1741475174.0333307,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
71,1741475174.0339663,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
72,1741475174.0346165,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
73,1741475174.0351396,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
74,1741475174.0357773,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
75,1741475174.0367107,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
76,1741475174.03958,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
77,1741475174.0403466,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
78,1741475174.0410001,192.168.88.9,192.168.88.255,ICMP,60,Ether / IP / ICMP 192.168.88.9 > 192.168.88.255 echo-request 0 / Padding,Normal,No Attack
