No.,Time,Source,Destination,Protocol,Length,Info,Type,Type of attack
36,1742328468.2217138,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:8888 > 192.168.88.6:47772 RA,Non-Attack,No Attack
37,1742328468.2234883,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:1723 S / Padding,Non-Attack,No Attack
38,1742328468.224808,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:pop3s S / Padding,Non-Attack,No Attack
39,1742328468.2307127,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:netbios_ssn S / Padding,Non-Attack,No Attack
40,1742328468.235792,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:telnet S / Padding,Non-Attack,No Attack
41,1742328468.2394176,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:1723 > 192.168.88.6:47772 RA,Non-Attack,No Attack
42,1742328468.2405496,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:pop3s > 192.168.88.6:47772 RA,Non-Attack,No Attack
43,1742328468.245568,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:netbios_ssn > 192.168.88.6:47772 RA,Non-Attack,No Attack
44,1742328468.2472165,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:telnet > 192.168.88.6:47772 RA,Non-Attack,No Attack
45,1742328468.250248,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:microsoft_ds S / Padding,Non-Attack,No Attack
46,1742328468.2519064,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:smux S / Padding,Non-Attack,No Attack
47,1742328468.2553766,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:1025 S / Padding,Non-Attack,No Attack
48,1742328468.2564685,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:mysql S / Padding,Non-Attack,No Attack
49,1742328468.2573893,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:pop3 S / Padding,Attack,Nmap Scan
50,1742328468.2582002,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:microsoft_ds > 192.168.88.6:47772 RA,Non-Attack,No Attack
51,1742328468.2589357,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:smux > 192.168.88.6:47772 RA,Non-Attack,No Attack
52,1742328468.259494,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:1025 > 192.168.88.6:47772 RA,Non-Attack,No Attack
53,1742328468.2613995,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:mysql > 192.168.88.6:47772 RA,Non-Attack,No Attack
54,1742328468.265966,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:pop3 > 192.168.88.6:47772 RA,Non-Attack,No Attack
55,1742328468.2687,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:imaps S / Padding,Attack,Nmap Scan
56,1742328468.2699978,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:http S / Padding,Attack,Nmap Scan
57,1742328468.2747781,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:ftp S / Padding,Attack,Nmap Scan
58,1742328468.2800608,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:ssh S / Padding,Attack,Nmap Scan
59,1742328468.2860055,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:256 S / Padding,Attack,Nmap Scan
60,1742328468.2870874,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:domain S / Padding,Attack,Nmap Scan
61,1742328468.2876983,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:rtsp S / Padding,Attack,Nmap Scan
62,1742328468.2882433,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:1720 S / Padding,Attack,Nmap Scan
63,1742328468.2887833,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:imaps > 192.168.88.6:47772 RA,Attack,Nmap Scan
64,1742328468.289306,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:http > 192.168.88.6:47772 RA,Attack,Nmap Scan
65,1742328468.289801,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:ftp > 192.168.88.6:47772 RA,Attack,Nmap Scan
66,1742328468.2902534,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:ssh > 192.168.88.6:47772 RA,Attack,Nmap Scan
67,1742328468.2907557,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:256 > 192.168.88.6:47772 RA,Attack,Nmap Scan
68,1742328468.291228,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:domain > 192.168.88.6:47772 RA,Attack,Nmap Scan
69,1742328468.2916791,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:rtsp > 192.168.88.6:47772 RA,Attack,Nmap Scan
70,1742328468.2921383,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:1720 > 192.168.88.6:47772 RA,Attack,Nmap Scan
